37.59	33.06	34.0431	3	2.27	MFG.R
33.18	52.59	-10.73	3	0.57	ORBmid.R
50.2	14.98	21.41	3	0.03	IFGoperc.R
-35.98	30.71	-12.11	3	0.17	ORBinf.L
41.22	32.23	-11.91	3	0.03	ORBinf.R
-5.17	54.06	-7.4	4	1.20	ORBsupmed.L
-5.08	37.07	-18.14	4	0.00	REC.L
-35.13	6.65	3.44	1	1.76	INS.L
39.02	6.25	2.08	1	1.58	INS.R
-4.04	35.4	13.95	4	0.00	ACG.L
29.23	-19.78	-10.33	5	1.34	HIP.R
27.32	0.64	-17.5	5	0.18	AMYG.R
-14.62	-67.56	-4.63	2	0.19	LING.L
-55.79	-33.64	30.45	1	0.21	SMG.L
9.98	-56.05	43.77	4	0.05	PCUN.R
14.84	12.07	9.42	5	0.88	CAU.R
27.78	4.91	2.46	5	2.83	PUT.R
21.2	0.18	0.23	5	0.23	PAL.R
